Timestamp,Container,CPU%
2025-04-24 12:02:57,root-10.9.0.30,0.01%
2025-04-24 12:02:57,local-dns-10.9.0.53,0.00%
2025-04-24 12:02:57,example-edu-10.9.0.65,0.01%
2025-04-24 12:02:57,spare-edu-10.9.0.66,0.00%
2025-04-24 12:02:57,edu-10.9.0.60,0.01%
2025-04-24 12:02:57,user-10.9.0.5,0.00%
2025-04-24 12:03:01,root-10.9.0.30,0.00%
2025-04-24 12:03:01,local-dns-10.9.0.53,0.24%
2025-04-24 12:03:01,example-edu-10.9.0.65,0.00%
2025-04-24 12:03:01,spare-edu-10.9.0.66,0.00%
2025-04-24 12:03:01,edu-10.9.0.60,0.00%
2025-04-24 12:03:01,user-10.9.0.5,2.00%
