Timestamp,Container,CPU%
2025-04-24 17:14:14,edu-10.9.0.60,0.02%
2025-04-24 17:14:14,local-dns-10.9.0.53,0.04%
2025-04-24 17:14:14,example-edu-10.9.0.65,0.00%
2025-04-24 17:14:14,root-10.9.0.30,0.00%
2025-04-24 17:14:14,spare-edu-10.9.0.66,0.00%
2025-04-24 17:14:14,user-10.9.0.5,0.00%
2025-04-24 17:14:18,edu-10.9.0.60,0.00%
2025-04-24 17:14:18,local-dns-10.9.0.53,0.00%
2025-04-24 17:14:18,example-edu-10.9.0.65,0.01%
2025-04-24 17:14:18,root-10.9.0.30,0.00%
2025-04-24 17:14:18,spare-edu-10.9.0.66,0.00%
2025-04-24 17:14:18,user-10.9.0.5,4.68%
